,accuracy,precision,recall,f1-score,auc-roc,training_time
SVM,0.9928792569659443,0.993719806763285,0.9951620706337687,0.9944404157602127,0.9997957503595168,3.6180741786956787
K-Means,0.44427244582043346,0.5563847429519071,0.6492501209482342,0.5992409019870507,,26.889289379119873
MLP,0.9993808049535604,1.0,0.9990324141267537,0.999515972894482,0.9999746247900825,28.005796909332275
Logistic Regression,0.9928792569659443,0.993719806763285,0.9951620706337687,0.9944404157602127,0.9997874306185603,1.2876875400543213
